state,cases_new,cases_import,cases_recovered,population,Population Density,Average Cases
Johor,114396,0,1390,3781000,174,1906.6
Kedah,71586,0,1567,2185100,205,1193.1
Kelantan,75564,0,1005,1906700,102,1259.4
Melaka,19574,0,521,932700,493,326.2333333
Negeri Sembilan,11536,1,526,1128800,153,192.2666667
Pahang,41168,0,696,1678700,42,686.1333333
Perak,68272,0,762,2510300,112,1137.866667
Perlis,3876,0,40,254900,282,64.6
Pulau Pinang,87436,0,1781,1773600,1490,1457.266667
Sabah,100260,0,2345,3908500,44,1671
Sarawak,186132,0,1465,2816500,20,3102.2
Selangor,147334,1,6829,6538000,674,2455.566667
Terengganu,44306,0,573,1259300,79,738.4333333
Kuala Lumpur,25642,3,1531,1773700,6891,427.3666667
Labuan,308,0,12,99600,955,5.133333333
Putrajaya,1492,0,30,110000,1478,24.86666667
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
